City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Noumea,NC,2022-04-16 19:29:52,-22.2763,166.4572,73.99,99,1,7.36
124,Dangriga,BZ,2022-04-16 19:29:52,16.9692,-88.2321,82.74,66,98,8.9
125,Kamenka,RU,2022-04-16 19:29:52,51.3223,42.7678,50.7,77,100,11.27
126,Clearlake,US,2022-04-16 19:29:53,38.9582,-122.6264,61.36,68,88,5.86
127,Yarensk,RU,2022-04-16 19:29:53,62.1675,49.0916,23.74,95,39,3.2
128,Lincoln,US,2022-04-16 19:28:56,40.8,-96.667,50.29,34,0,12.66
129,Neyshabur,IR,2022-04-16 19:29:54,36.2133,58.7958,60.82,46,68,7.72
130,Apricena,IT,2022-04-16 19:29:54,41.7839,15.4437,58.82,79,99,13.13
131,Kaitangata,NZ,2022-04-16 19:29:55,-46.2817,169.8464,40.78,91,92,4.56
132,Storslett,NO,2022-04-16 19:29:55,69.7678,21.0247,44.6,70,75,9.22
133,Ponta Delgada,PT,2022-04-16 19:29:56,37.7333,-25.6667,63.32,77,20,13.8
134,Yenagoa,NG,2022-04-16 19:29:56,4.9247,6.2642,79.92,83,25,6.93
135,Chokurdakh,RU,2022-04-16 19:30:56,70.6333,147.9167,-14.21,100,99,2.48
136,Xingcheng,CN,2022-04-16 19:30:57,40.6167,120.7167,51.58,29,0,5.01
137,Tura,IN,2022-04-16 19:30:57,25.5198,90.2201,69.89,74,3,6.91
138,Mar Del Plata,AR,2022-04-16 19:30:10,-38.0023,-57.5575,69.82,82,0,18.01
139,Kapaa,US,2022-04-16 19:30:58,22.0752,-159.319,78.78,90,75,17.27
140,Saskylakh,RU,2022-04-16 19:30:58,71.9167,114.0833,10.8,93,99,14.14
141,Jumla,NP,2022-04-16 19:30:59,29.2747,82.1838,45.19,62,1,5.64
142,Bethel,US,2022-04-16 19:30:59,41.3712,-73.414,67.89,47,75,12.66
143,Sijunjung,ID,2022-04-16 19:31:00,-0.6876,100.9537,73.69,98,100,1.59
144,Havelock,US,2022-04-16 19:31:00,34.8791,-76.9013,73.36,80,100,11.5
145,Miracema Do Tocantins,BR,2022-04-16 19:31:01,-9.5618,-48.3967,79.83,88,100,2.82
146,Iqaluit,CA,2022-04-16 19:30:13,63.7506,-68.5145,10.13,78,100,3.44
147,Rio Gallegos,AR,2022-04-16 19:31:01,-51.6226,-69.2181,51.85,66,75,11.5
148,Ketchikan,US,2022-04-16 19:31:02,55.3422,-131.6461,46.87,31,0,6.91
149,Airai,TL,2022-04-16 19:31:02,-8.9266,125.4092,59.32,93,62,2.62
150,Sioux Lookout,CA,2022-04-16 19:31:03,50.1001,-91.917,23.07,63,75,6.91
151,Upernavik,GL,2022-04-16 19:31:03,72.7868,-56.1549,-5.33,89,30,13.89
152,San Luis,AR,2022-04-16 19:29:42,-33.295,-66.3356,75.07,23,34,7.99
153,Pisco,PE,2022-04-16 19:31:04,-13.7,-76.2167,71.65,64,0,21.85
154,Orebro,SE,2022-04-16 19:26:47,59.2741,15.2066,51.98,43,20,9.22
155,Santa Cruz,BO,2022-04-16 19:30:04,-17.8,-63.1667,74.66,53,75,13.8
156,Abha,SA,2022-04-16 19:28:01,18.2164,42.5053,67.82,45,0,0.0
157,Biak,ID,2022-04-16 19:31:05,-0.9131,122.8766,76.75,85,100,2.73
158,Torrevieja,ES,2022-04-16 19:31:06,37.9787,-0.6822,74.34,39,1,7.47
159,Anzio,IT,2022-04-16 19:31:06,41.4853,12.6179,65.1,61,80,5.23
160,Thompson,CA,2022-04-16 19:31:07,55.7435,-97.8558,24.96,42,75,6.91
161,Manono,CD,2022-04-16 19:31:07,-7.3,27.4167,70.47,94,100,1.28
162,Iquitos,PE,2022-04-16 19:31:07,-3.7481,-73.2472,87.84,62,75,4.61
163,Tasiilaq,GL,2022-04-16 19:27:31,65.6145,-37.6368,37.56,97,100,17.13
164,Muravlenko,RU,2022-04-16 19:31:08,63.7898,74.523,16.81,94,99,14.83
